title,label
«КвартСтрой» уведомил дольщиков об отставке сроков,1
Задержки по строительству жилья в России коснулись и таких крупнейших застройщиков — Daily Storm,1
СМИ: покупатель квартиры в Новосибирске отсудил уголовное дело,1
"ООО «ВиС Инфраструктуры» стала первой компанией, которую нужно было сделать",1
Совет рынка снова штрафовал «РусГидро» и «РусГидро»,1
Затягивание сроков сдачи благоустройства могут привести к снижению стоимости объектов,1
"Работа по проектированию завершилась на 4 года позже, чем установленный срок.",1
«Росте» сорвало сроки работы по развитию перинатальных центров в России,1
Квартира в Новосибирске отсудили за неустойку,1
«У меня 9 месяцев задержка на сдаче квартиры в Зелёных Аллеях»,1
Первые энергоблока ТЭС в Симферополе и Севастополе должны были быть установлены,1
Квартира была сдана в конце 2018 г.,1
"Текслер считает, что усть-катавское руководство оказалось неадекватным",1
В Тюмени строители смогут помотать и жителей Тюмени,1
Аэропорт Зеи закрыт из-за недоработки,1
"В МЧС заявили о отставке ЖК ""Любимов""",1
Эксперт оценил сроки передачи участков в долевое строительство,1
Ввод ГП-5 в эксплуатацию задержали из-за недостатка документов,1
США вводят в эксплуатацию самой современной и дорогой истребитель,1
В декабре 2016 г. строительство центров было завершено,1
В Нижнём Новгороде встали 21 стройплощадка.,1
Пономарев прокомментировал решение о введении в эксплуатацию жилого дома,1
Застройщик хочет погасить долг за несвоевременную сдачу дома в эксплуатацию,1
Дом No 2 еще не сдан на стройку,1
Ввод второй части магистрального нефтеперерабатывающего комплекса «Транснефть» может быть задержан,1
"Эксперты утверждают, что выдача ключей будет производиться в субсистеме",1
Правительство РФ прокомментировало штрафы «Техномэксспорту» за срывы,1
Компания «Kвартстрой» сообщила о перерыве сроков для дольщиков,1
В декабре 2016 г. планируется закончить строительство центров,1
Житель Аликовского района прокомментировал задержку ввода дорог в эксплуатацию,1
В Сургутской области компания ДЭП строит две многоквартирные дома,1
Смольный предупредил Росреестр о просрочке на полгода,1
Компания «АртурСтройТехнo» завершила производство и не включила в эксплуатацию стройматериалы,1
"""Вчера руководство компании """"Кока Кола Эйч-Би-си""""",1
В Ленобласти начали работать два завода по изготовлению метанола,1
В Петербурге не было автоматической мочи колес на территории строящегося дома,1
Детская поликлиника в Орловской области закрыта из-за угрозы коронавируса,1
ГарантЪ считает задержку строительства в ближайшие полгода,1
«РусГидро» не впервые подвергается штрафу за просрочки ввода,1
«Пензгородстройзаказчик»: кто будет отвечать за сирот в «Пензгородстройзаказчике»,1
В Москве сдадут в эксплуатацию большую часть офиса,1
Информация относительно задержки сдачи дома Панинский.,1
"""Вчера руководство компании """"Кока Кола Эйч-Би-си"""" назначило руководство компании """"Кока Кола Эйч-Би-си"""".""",1
"""Вчера руководство компании """"Кока Кола Эйч-Би-си"""" посетило предприятие """"Кока Кола Эйч-Би-си"""".""",1
Дольщики 2-й очереди ЖК «Архимед» пожаловались на жалобу,1
Введен в эксплуатацию комплекс с подземным автостоянком,1
Затягивается работа по стыковке наружных теплосетей и облицовке.,1
Сроки аренды домов задержали на полгода — Daily Storm,1
Сроки строительства объекта переносились несколько раз,1
«Лидер группп» перенёс срок аренды «Небесного комплекса»,1
Петербургский государственный строительный надзор выдал разрешение на ввод последнего долголетия,1
"""Пензгорстрозаказчик"" ответит на сирот",1
Ввод в строй дом ГП-5 заблокирован из-за недостатка документов,1
"ЖК ""Звезда"" от ООО ""Строительная корпорация Элис"" вновь возобновился",1
Киевские застройщики стали чаще сроки аренды жилья,1
Строительство Международного терминала морского флота в Калининграде,1
Тогда ввод был перенесен на второй половине 2015 г.,1
Введен в эксплуатацию жилой комплекс с подземными автостоянками,1
«Кубанская марка» задержала срок сдачи дома в Краснодаре,1
Так строительство отложилось на неопределенное время.,1
Срок ввода квартиры в эксплуатацию составляет 2-3 месяцев.,1
Житель Алиевского района сообщил о задержке ввода дорог в эксплуатацию,1
В прошлом году стройка почти прекратилась.,1
Сроки проведения сдачи сократились на четверть квартала,1
«Лидер Group» перенес новый комплекс «Не-Не-Не»,1
Алиханов: в планах реализации проекта могут появиться изменения,1
В Кировской области нарушены сроки передачи дольщиков участникам строительства,1
Компания «АртурСтройТехнo» не была завершена строительством и не была введена в эксплуатацию,1
"Строительство не идет гладко, сдача корпусов до полутора января",1
Срок сдачи дома может быть продлен до 14 февраля,1
"Компания, должная была сделать лифты в Москве, задержала сроки поставки лифтов",1
"Но работы были заморожены, а переезд в новогодние квартиры было отложено.",1
Открытое ЦКАД закроют до 2022 г.,1
В Новосибирской области вновь сорвались сроки строительства крупной стройплощадки,1
«Лидер Group» перенес контракт с новым комплексом «Не-Не-Не»,1
В Финляндии перенесли срок ввода атомной энергии в эксплуатацию,1
"Сейчас считается долгостроем любой дом, который строится, если его срок завершится.",1
Новый срок аренды квартир вместо окончания 2017 года будет продлен до 31 марта,1
«Гарант» считает полугодичную задержку строительства,1
В декабре 2016 г. планируется завершить строительство центров,1
"Что нужны знать для того, чтобы выяснить причины задержки эксплуатации дома?",1
В Тюмени строитель успел одолжить нервы жителей Тюмени,1
Строительство 3-й ВПП может быть завершено к ЧМ по футболу — Daily Storm,1
Дольщики очереди ЖК «Архимед» пожаловались на жалобу,1
Затянувшееся строительство сильно напрягало.,1
Низовский завод вводится в эксплуатацию в феврале,1
Госстройнадзор выразил соболезнования в связи с принятием закона о вводе в эксплуатацию «проблемных» объектов,1
В Санкт-Петербурге отреагировали на перенос часть их концертов,1
Госкорпорация обвинила подрядчиков в сокращении сроков,1
Низовский завод будет вводиться в эксплуатацию в 2020 году,1
"Директор по связям с внешними компаниями ООО ""Кока Кола Эйч""",1
«РусГидро» оштрафован за просрочки ввода в эксплуатацию мощности,1
«Больверка» отреагировала на отставание от графика строительства в ближайшие дни,1
Алиханов рассказал о планах на реализацию проекта,1
В правительстве республики рассказали о задержке ввода объектов в эксплуатацию,1
«РусГидро» оштрафовано за нарушение законодательства о вводе в эксплуатацию энергетического блока,1
В Крыму прокомментировали срыв строительства ТЭС,1
ООО «Инвестпроект» построит дом с отсрочкой на 9 месяцев,1
Затянута рабочая работа по укладке наружной тепловой сети и облицовке.,1
Суд принял решение взыскать почти 500 тыс. рублей неустойки,1
Задержку сдачи домов не обошли нам экономические показатели,1
Срок ввода в эксплуатацию застройщика может продлить на полгода,1
Сроки передачи отдельных участков дорог неоднократно останавливались.,1
Строительство нового жилого комплекса «Балтийской волны» пройдет в ближайшее время,1
В Красноярске начнется строительство Всемирного зимнего универсиада,1
Кто будет нести ответственность за нарушение сроков строительства жилого дома,1
"ООО ""ВТУС"" заплатит более 400 тыс. руб. за задержку продажи",1
Три человека пожаловались на неисправность автомойки колес,1
Что планируется завершить строительством торгового центра в 1 квартале 2019 г.?,1
Трутнев прокомментировал сроки сдачи новых объектов в «Комсомольск»,1
В столице планируют ввести офисную недвижимость,1
Минэнерго может продлить срок ввода объекта в эксплуатацию,1
Сроки сдачи сроки неоднократно перенесены из-за несоответствия подрядчика,1
ООО « Гранид» перенесло сроки завершения строительства,1
В школе No 60 оштрафовали за срыв срока ремонта,1
В «Казани» не смогут выполнить работу из-за проблем с финансами,1
«Росте» сорвала сроки реализации программы развития центров перинатального типа в России,1
Затягивается работа по изоляции наружных теплосетей и облицовке.,1
Банкротство Алтайского края привело к невозможности исполнения обязательств,1
Алиханов рассказал о планах развития проекта,1
«РусГидро» не впервые подвергается штрафу за пропуски ввода,1
Кувайцев рассказал о сроках сдачи домов в Пензе,1
Дата ввода в эксплуатацию объекта перенесли до 31 июня 2019 г.,1
Группа компаний «ВКБ-Недвижимость» перенесла переговоры с Краснодаром,1
Строительство в новостройках «Балтийской волны» может быть завершено до конца 2020 года,1
Срок запуска в эксплуатацию квартиры составляет 2—3 месяца.,1
В Хабаровском крае дольщики пожаловались на срыв времени строительства жилого дома,1
В Красноярске начнут работу Всемирная зимняя универсиада,1
«Казань»: «Не сможет выполнять работы» из-за проблем с финансовыми проблемами,1
Первая очерёдная часть проекта введут в эксплуатацию в январе 2020 года,1
Аэропорт Зеи загорелся из-за недоработки,1
Строительство улицы Большевистская пройдет до конца зимы,1
ЖК «звезда» от строительной корпорации «Элис» снова открывается в Москве,1
Дорогие дольщики хотим извиняться перед Вами,1
Ввод в эксплуатацию участков должен быть завершен в 2018 году,1
В Ростовской области назвали причину отсутствия автоматической мочи колес,1
"Директор по связям с общественностью ООО ""Кока Кола Эйч""",1
Строительство завода снова отложено в ближайшее время,1
Ввод жилья в эксплуатацию затянулся из-за нарушений ресурсоснабжающих организаций,1
«Роскосмос» и «Казань» договорились о поставке технологического оборудования,1
Сколько ещё людей придётся ждать окончания строительства?,1
На сентябрь объект должен быть сдан с несоблюдением срока.,1
"Глава ЦКАД рассказал, когда будет открыто здание ЦКАД",1
Детская поликлиника в Оренбурге закрыта в связи с коронавирусом,1
"В Госстройнадзоре выдали разрешение на строительство последнего ""проблемного"" объекта",1
Строительство последнего участка трассы в Твери пройдет не раньше 2021 года,1
В супермаркете Ocean Mall откроют новый супермаркет,1
Прокуратура начала проверку после задержки ввода объектов в республику,1
Застройщики предупредили о задержках в сдаче жилья,1
Сроки расторжения договора с краем могут быть сдвинуты,1
«РусГидро» оштрафовал «Газпрома» за нарушение законодательства о ремонте энергоблока,1
В Ростове за срыв учебного заведения штрафовали за срыв учебного заведения,1
Это относится к смещению срока начала его эксплуатации.,1
В Ленобласти прекратили строительство двух заводов для производства метанола,1
В Дубровке и Перепечино не было расселений,1
Кто будет отвечать за срыв времени ввода жилого дома в эксплуатацию,1
В начале 2019 года темпы роста строительства сократились в связи с общим спадам,1
В России могут перенести сроки строительства ЖКХ,1
Затянувшаяся работа сильно беспокоит.,1
Информация об отставке срока введения в эксплуатацию исключительно касается,1
«Кудрово» могут отложить на неопределенные сроки,1
"Строительство завода ""Киров Плазма"" не завершено",1
"«Квадро» и ""РусГидро"" оштрафованы за нарушение контракта с «Квадро»",1
В Госдуме назвали нарушения по срокам передачи участков в долевое строительство,1
Ввод в строй первой очереди запланирован на осенью,1
В Госкорпорацию обвинили в нарушении сроков работы подрядчиков — Daily Storm,1
Строительство на Большевистском проспекте сдадут до конца зимы,1
В Департаменте здоровья РФ возбудили уголовное дело по делу о задержке ввода трубы,1
В Петербургу застройщики арестовали сроки строительства 38 объектов,1
"В ходе встречи рабочего группы директор департамента строительства ЗАО ""ДЕС""",1
Названы сроки сдачи проекта Марсель Мингалимов,1
Балтзавод не смог приступить к работе в ближайшее время,1
Руководство компании официально перенесло сдачу первого этажа строительства,1
Сбор информации и подробный анализ реализации нацпроектов на территории муниципальных образований,1
Вместо окончания 2017 года новые сроки передачи жилья начнутся 31 марта,1
В Краснодарском крае группа компании «ВКБ-Недвижимость» перенесла переговоры с правительством Краснодара,1
"Сроки аренды дома, которые заявили застройщикам, уже закончились.",1
Строительство жилой комплекса прекращено в марте 2017 года,1
В ЦКАД отказались от открытия в 2022 году,1
"В 2018 году ЗАО ""ДЕСНА ЛЭНД"" получил предварительный застройщик",1
В Роспотребнадзоре рассказали о ситуации с нарушением режима ввода жилья в эксплуатацию,1
Изначально строительство участков введено в эксплуатацию в 2018 году,1
Роспотребнадзор предложил имшимцам компенсировать моральный вред,1
Сколько ещё людей будет ждать окончания строительства?,1
«Транснефть» задержала ввод второго очереди российского нефтепровода,1
«На сегодняшний день ввод в эксплуатацию двух корпусов «Новограда Павлино» невозможен»,1
Текслер оценил решение руководства Усть-Катава о срыве,1
Застройщик Тюмени помог москвичам помотать их нервы,1
Никитин рассказал о ситуации в Первомайске,1
"В Ростовской школе на 1,1 тысячи мест не смогут принимать учеников",1
В Краснодарском крае группа «ВКБ-Недвижимость» перенесла переговоры с «ВКБ-Недвижимость»,1
Поэтому строительство отложено до неопределенного срока.,1
Банкротство Алтайского края привело к невыполнению обязательств перед правительством,1
В ходе проверки выявили отставание сроков строительства первых домов,1
Затем его ввод был перенесен на второй половине 2015 г.,1
В Балашихе жилищный комплекс «Новоград» будет возведен в эксплуатацию,1
Первая часть проекта введут в эксплуатацию,1
Что повлечет за собой перенос даты сдачи в эксплуатацию,1
Дольщики пожаловались на стройку в Ленинградской области,1
ООО «ДонбиоТех» объявило о переносе срока,1
В Челнах перенесли сроки строительства «Цезаря»,1
Срок запуска в эксплуатацию строящегося дома составляет 2—3 месяца.,1
Срок строительства второго ЖК в Москве продлен до 1 января,1
Запад-2 должен был быть введен в эксплуатацию в начале 2016 года,1
Вместо концов 2015 г. дом будет пущен в эксплуатацию до конца 2016 г. Вместо концов 2015 г. дом будет пущен в эксплуатацию до конца,1
«РусГидро» не впервые подвергается штрафу за задержку ввода воды,1
СМИ: Белоус покинул пост вице-премьера РФ Андрея Алиханова,1
"Строительство ЖК ""Любимов"" начнется в 2020 году",1
"Заказчик попытался свернуть деньги, которые потрачены на неданный",1
В Барнауле дольщики пожаловались на срыв времени строительства жилого дома,1
Первые покупки квартир в новостройках начнутся в феврале,1
Квартиры для детей-сирот и детей-сирот предоставляются в районе Заря,1
Квартиры на территории микрорайона Заря для детей-сирот и детей-сирот предоставляются,1
Задержка строительства домов произошла из-за экономических обстоятельств,1
БЗС в сотрудничестве с «Росатомом» и «Судостроительной Корпорацией»,1
"ООО ""Инвестиции в Будущее"" построит дом с убытками за 9 месяцев",1
ГК «Стройинвест» ИС оштрафовали за отставку в 23 месяца,1
В столичном акимате рассказали о сокращении сроков строительства Первого моста,1
Срок сдачи домов в Москве продлили до конца года,1
Банкротство Алтайского края выросло до 16 млн рублей,1
"Эксперт рассказал, почему проекты не сдадут в срок",1
В Нижегорской области ввели в эксплуатацию большую школу,1
Строительство аэропорта «Зеи» в Хабаровском крае пройдет до конца февраля,1
Задержки по строительству жилья затронули даже крупные застройщики,1
Суд обязал «Тин группу» выплатить 50 участникам акции,1
ГК «ПРОфит» намерена увеличить сроки строительства,1
Ввод космодрома «Восточный» отложен из-за новых изменений,1
ООО «Инвестпроекты будущего» построит дом с убытками,1
Сроки передачи объекта переносились несколько раз.,1
"""Срок реализации проекта """"НГСК"""" и """"Балтийская газхимия""""",1
В сети появилось видео срыва срока строительства дома в Барнауле,1
Задержку строительства планируют продлить до двух лет,1
Затянувшаяся работа сильно напрягает.,1
"Работа на некоторых участках завершена, но объекты не смогут быть выполнены.",1
Дольщики пожаловались на незаконную стройку,1
В начале 2019 года рост темпов строительства сократился,1
Срок ввода в действие «Северного потока – 2» продлен до 1 января,1
В Дубровке и Перепечино еще не расселены деревни,1
В Сургутском районе компания ДЭП строит два жилых дома,1
Глава региона рассказал о назначении Семкова на должность губернатора,1
В застройщике рассказали о переносе сроков эксплуатации,1
"Эксперты утверждают, что выдача ключей будет производиться в субподразделении",1
В июнь 2015 г. Васильково было введено в эксплуатацию,1
ГК «Стройинвест» ИС возвращается в отставку в ближайшие 23 месяца,1
Дольщики третьей очереди ЖК «Архимед» пожаловались на жалобу,1
"По данным Ъ, строительство ледокола ""Арктика"" будет завершено",1
"«В 2017 году конфликт стал назревать, ведь они именно так и стали конфликтовать, ведь они именно так и считают.",1
"В ЖК ""Квартал ""Европейский"" продлили сроки аренды",1
Это требует дополнительных финансовых средств и может привести к задержке строительства домов,1
Вместо окончания 2017 года передача квартир начнется 31 марта,1
Взыскание неустойки взыскали с покупателя квартиры в Заволжском районе,1
Петербургский государственный надзор выдал разрешение на ввод последнего долгосрочного строительства,1
Срок сдачи дома в Москве продлили до 15 февраля,1
"По данным ""Ъ"", строительство ледокола ""Арктика"" завершено",1
Заказчик попытался вернуться с денег на несданную вещь,1
Текслер назвал срыв с руководством Усть-Катава трагедией,1
«Кудрово» может отложить на неопределенное время,1
Даже крупнейшие компании допустили задержки в сдаче дома,1
Застройщики два многоквартирных дома не сообщили о нарушении законодательства о долевом строительстве,1
"«На самом деле мы обратились к тому, чтобы перенести сроки ввода.",1
В сентябрь объект должен быть сдан с нарушениями срока.,1
"«Казань»: «Несмотря на финансовые проблемы, мы не сможем выполнить работу»",1
В Кировской областях нарушили срок предоставления участникам долевого строительства,1
Сроки сдачей сократились на четверть квартала в связи с объективными причинами,1
Кто будет отвечать за срыв даты ввода жилого дома в эксплуатацию,1
«Роскосмос» и «Казань» заключили контракт на поставки технологического оборудования,1
«На самом деле мы обратились за просьбой перенести срок ввода.,1
"В Ростовской школе на 1,1 тысяче мест не будет принимать учеников",1
Это требует дополнительных средств и повлечет за собой задержку ввода домов,1
Также огромную роль играло отставание строительства инфраструктуры,1
"В Костроме задержан один из новых дольщиков, считающих себя обманутыми",1
На полгода даже надежные застройщики могут просрочить срок ввода в эксплуатацию,1
«Балтийский завод — судостроение» прекратил платить за подрядчиков,1
«Стройград» завершил грандиозное строительство у кольца Пушкаревского,1
Сроки передачи участков в долевое строительство нашли нарушения,1
В Совете Федерации одобрили введение в эксплуатацию ЖК «Квартала Европейский»,1
В мае 2018 года планировали сдавать первые две квартиры.,1
В числе субъектов Российской Федерации готовятся к вводу детсадов в эксплуатацию,1
В Финляндии перенесли срок ввода в строй АЭС «Ханхикиви»,1
В Севастополе начали строительство первых энергоблоков ТЭС,1
В Владимирской области дольщики пожаловались на затягивание с жильем,1
«РусГидро» оштрафовал «Газпрома» за несвоевременное введение в эксплуатацию блока,1
"""Срок выполнения проектов """"НГСК"""" и """"Балтийская газхимия""""",1
Названы сроки сдачи проектов в срок,1
Российские футболисты начнут играть на ЧМ по футболу,1
"Судебное решение поясняет, что сроки выполнения работ по подрядным работам сокращаются",1
Что повлечет за собой перенос даты запуска в эксплуатацию,1
Срыв времени строительства отрицательно сказывается на реализации и на конечном итоге,1
По 10 перинатальных центрам ввели карантин,1
Сроки строительства отрицательно сказываются на реализации проектов и конечном итоге,1
"По словам строителей, причина задержки стала форс-мажором",1
В Департаменте здоровья РФ подали в суд на строителя за задержку строительства,1
«РусГидро» не первым раз подвергается штрафу за нарушение законодательства о просрочке ввода,1
Дания не выдала разрешение на строительство в ее территориальных водах,1
Срок переноса срока не связан с задержкой подачи в эксплуатацию домов,1
Совет рынка вновь штрафовал «Русгидро» и «РусГидро»,1
Строительство железнодорожного моста в Санкт-Петербурге запланировано на 2020 год,1
"Все, что происходит, это перенос сроков и допсоглашений.",1
ООО «ВО ТЕХНОПРОМЭКС» обратилось в Министерство энергетики РФ,1
В общеобразовательных школах No4 планируют закончить с 1 июля,1
Информация для задержки сдачи дома Панинский.,1
Первые владельцы квартир в новостройках могут получить ключи от второго этажа,1
Сроки аренды домов задержаны до конца года,1
Семков поручил контролировать ход работы в Ростове-на-Дону,1
Сроки передачи отдельных участков дороги сдвигались неоднократно.,1
Балтфлот не может принять участие в работе из-за коронавируса,1
«РусГидро» оштрафовал «Газпрома» за нарушение законодательства о вводе в эксплуатацию,1
Сроки сдачи компании «Приморстрой» затянулись.,1
Причиной задержки возобновляемого строительства стало необходимость продлить срок строительства,1
"В 2018 г. стало понятно, что дом в срочном порядке не сдаём:",1
В Пензе глава Пензы рассказал о сроках сдачи жилых домов,1
Эксперт оценил решение о сдаче ряда проектов в срок,1
